Country,State,City,Lat,Log
Japan,Tōkyō,Tokyo,35.687,139.7495
Indonesia,Jakarta,Jakarta,-6.175,106.8275
India,Delhi,Delhi,28.61,77.23
China,Guangdong,Guangzhou,23.13,113.26
India,Mahārāshtra,Mumbai,19.0761,72.8775
Philippines,Manila,Manila,14.5958,120.9772
China,Shanghai,Shanghai,31.2286,121.4747
Brazil,São Paulo,São Paulo,-23.5504,-46.6339
"Korea, South",Seoul,Seoul,37.5667,126.9833
Mexico,Ciudad de México,Mexico City,19.4333,-99.1333
India,West Bengal,Kolkāta,22.5675,88.37
Egypt,Al Qāhirah,Cairo,30.0444,31.2358
Pakistan,Sindh,Karachi,24.86,67.01
Bangladesh,Dhaka,Dhaka,23.7289,90.3944
United States,New York,New York,40.6943,-73.9249
China,Beijing,Beijing,39.9067,116.3975
Thailand,Krung Thep Maha Nakhon,Bangkok,13.7525,100.4942
China,Guangdong,Shenzhen,22.5415,114.0596
Russia,Moskva,Moscow,55.7506,37.6175
Argentina,"Buenos Aires, Ciudad Autónoma de",Buenos Aires,-34.6036,-58.3814
Nigeria,Lagos,Lagos,6.455,3.3841
India,Karnātaka,Bangalore,12.9789,77.5917
Vietnam,Hồ Chí Minh,Ho Chi Minh City,10.7756,106.7019
Japan,Ōsaka,Ōsaka,34.6939,135.5022
China,Sichuan,Chengdu,30.66,104.0633
Turkey,İstanbul,Istanbul,41.0136,28.955
Iran,Tehrān,Tehran,35.6889,51.3897
Congo (Kinshasa),Kinshasa,Kinshasa,-4.3219,15.3119
Brazil,Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056
India,Tamil Nādu,Chennai,13.0825,80.275
China,Shaanxi,Xi’an,34.2611,108.9422
Pakistan,Punjab,Lahore,31.5497,74.3436
China,Chongqing,Chongqing,29.5637,106.5504
United States,California,Los Angeles,34.1141,-118.4068
United Kingdom,"London, City of",London,51.5072,-0.1275
France,Île-de-France,Paris,48.8567,2.3522
China,Shandong,Linyi,35.1038,118.3564
China,Guangdong,Dongguan,23.021,113.752
China,Hebei,Baoding,38.874,115.464
India,Telangāna,Hyderābād,17.3617,78.4747
China,Tianjin,Tianjin,39.1336,117.2054
Peru,Lima,Lima,-12.06,-77.0375
China,Hubei,Wuhan,30.5934,114.3046
China,Henan,Nanyang,32.9902,112.5285
China,Zhejiang,Hangzhou,30.267,120.153
Japan,Aichi,Nagoya,35.1833,136.9
Angola,Luanda,Luanda,-8.8383,13.2344
China,Guangdong,Foshan,23.0214,113.1216
Malaysia,Kuala Lumpur,Kuala Lumpur,3.1686,101.698
China,Henan,Zhoukou,33.6367,114.7014
China,Jiangsu,Tongshan,34.261,117.1859
Vietnam,Hà Nội,Hanoi,21,105.85
United States,Illinois,Chicago,41.8375,-87.6866
China,Jiangsu,Nanjing,32.0608,118.7789
China,Shandong,Heze,35.2343,115.4796
India,Mahārāshtra,Pune,18.5203,73.8567
China,Shandong,Jining,35.4151,116.5871
Colombia,Bogotá,Bogotá,4.7111,-74.0722
India,Gujarāt,Ahmedabad,23.0225,72.5714
China,Liaoning,Shenyang,41.8025,123.4281
Tanzania,Dar es Salaam,Dar es Salaam,-6.8161,39.2803
Sudan,Khartoum,Khartoum,15.6031,32.5265
South Africa,Gauteng,Johannesburg,-26.2044,28.0456
China,Anhui,Fuyang,32.89,115.814
Hong Kong,,Hong Kong,22.3,114.2
China,Jiangxi,Ganzhou,25.831,114.933
China,Henan,Shangqiu,34.415,115.656
China,Hebei,Cangzhou,38.3047,116.8387
Saudi Arabia,Ar Riyāḑ,Riyadh,24.65,46.71
Chile,Región Metropolitana,Santiago,-33.4372,-70.6506
China,Henan,Zhumadian,33.014,114.022
China,Guangdong,Zhanjiang,21.2701,110.3575
Burma,Yangon,Rangoon,16.795,96.16
China,Jiangsu,Yancheng,33.35,120.1569
China,Guizhou,Bijie,27.284,105.292
China,Hebei,Xingtai,37.0717,114.5048
China,Hunan,Hengyang,26.894,112.572
China,Hunan,Shaoyang,27.2395,111.4679
Indonesia,Jawa Timur,Surabaya,-7.2458,112.7378
India,Gujarāt,Sūrat,21.205,72.84
China,Fujian,Quanzhou,24.8744,118.6757
China,Jiangxi,Shangrao,28.4551,117.9431
China,Guizhou,Zunyi,27.722,107.031
Spain,Madrid,Madrid,40.4169,-3.7033
Iraq,Baghdād,Baghdad,33.3153,44.3661
China,Guangdong,Maoming,21.6627,110.9255
United States,Florida,Miami,25.784,-80.2101
China,Henan,Xinyang,32.149,114.091
United States,Texas,Houston,29.786,-95.3885
Singapore,,Singapore,1.3,103.8
India,Uttar Pradesh,Prayagraj,25.4358,81.8464
China,Hubei,Huanggang,30.4537,114.8724
China,Liaoning,Dalian,38.9,121.6
Turkey,Ankara,Ankara,39.93,32.85
United States,Texas,Dallas,32.7935,-96.7667
China,Shandong,Qingdao,36.0669,120.3827
China,Guangxi,Yulin,22.654,110.181
China,Shandong,Liaocheng,36.4559,115.9852
Cameroon,Littoral,Douala,4.05,9.7
China,Yunnan,Qujing,25.491,103.796
China,Henan,Nangandao,35.3036,113.9268
Ethiopia,Ādīs Ābeba,Addis Ababa,9.03,38.74
United States,Pennsylvania,Philadelphia,40.0077,-75.1339
Canada,Ontario,Toronto,43.7417,-79.3733
China,Henan,Zhengzhou,34.764,113.684
China,Sichuan,Nanchong,30.8372,106.1106
China,Shandong,Jinan,36.6702,117.0207
Egypt,Al Jīzah,Giza,29.987,31.2118
Russia,Sankt-Peterburg,Saint Petersburg,59.9375,30.3086
China,Guangdong,Jieyang,23.551,116.3727
China,Shandong,Dezhou,37.436,116.359
Kenya,Nairobi City,Nairobi,-1.2864,36.8172
Mexico,Jalisco,Guadalajara,20.6767,-103.3475
China,Shandong,Tai’an,36.202,117.087
China,Sichuan,Dazhou,31.2093,107.4678
Brazil,Minas Gerais,Belo Horizonte,-19.9281,-43.9419
China,Anhui,Suzhou,33.648,116.964
Mexico,Nuevo León,Monterrey,25.6844,-100.3181
China,Hunan,Yongzhou,26.42,111.613
China,Hunan,Changde,29.031,111.699
China,Hubei,Xiangyang,32.01,112.122
United States,Georgia,Atlanta,33.7628,-84.422
China,Shanghai,Pudong,31.2347,121.5064
United States,District of Columbia,Washington,38.9047,-77.0163
China,Yunnan,Zhaotong,27.338,103.717
China,Fujian,Zhangzhou,24.513,117.647
China,Hunan,Yueyang,29.3647,113.1309
Australia,Victoria,Melbourne,-37.8142,144.9631
China,Jiangxi,Yichun,27.816,114.417
Côte d’Ivoire,Abidjan,Abidjan,5.3364,-4.0267
China,Guangxi,Guilin,25.275,110.296
China,Henan,Pingdingshan,33.7666,113.1926
Egypt,Al Iskandarīyah,Alexandria,31.1975,29.8925
China,Anhui,Bozhou,33.8463,115.7786
Australia,New South Wales,Sydney,-33.8667,151.2
Spain,Catalonia,Barcelona,41.3833,2.1833
China,Shanxi,Yuncheng,35.0267,111.007
South Africa,Western Cape,Cape Town,-33.9253,18.4239
China,Hunan,Changsha,28.228,112.939
China,Jiangsu,Suqian,33.963,118.275
Saudi Arabia,Makkah al Mukarramah,Jeddah,21.5428,39.1728
China,Shaanxi,Weinan,34.5206,109.471
Germany,Berlin,Berlin,52.52,13.405
China,Hunan,Chenzhou,25.77,113.016
China,Guangdong,Jiangmen,22.5789,113.0815
China,Sichuan,Mianyang,31.468,104.679
China,Jiangxi,Jiujiang,29.661,115.954
China,Hunan,Huaihua,27.5698,110.0016
China,Henan,Huanglongsi,34.795,114.345
China,Jiangsu,Taizhou,32.4567,119.9229
India,Bihār,Belāhi,26.4,86.25
China,Sichuan,Yibin,28.752,104.643
